pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Xenopoulos/Pearce,GB1,0.45,BP_C_production_Leucine,A,Xenopoulos/Pearce_GB1_0.45_BP_C_production_Leucine_A,1.20E+04,ngC/L/d,
Xenopoulos/Pearce,GB1,0.45,BP_Thymidine_Incorporation,A,Xenopoulos/Pearce_GB1_0.45_BP_Thymidine_Incorporation_A,1.80E-01,nmol_thymidine_L_day,
Xenopoulos/Pearce,GB1,0.45,BP_C_production_Thymidine,A,Xenopoulos/Pearce_GB1_0.45_BP_C_production_Thymidine_A,3.96E+03,ngC/L/d,
Ozersky,Green_Bay,0.5,BP_Thymidine_Incorporation,A,Ozersky_Green_Bay_0.5_BP_Thymidine_Incorporation_A,8.94E-02,nmol_thymidine_L_day,
Ozersky,Green_Bay,0.5,BP_Leucine_Incorporation,A,Ozersky_Green_Bay_0.5_BP_Leucine_Incorporation_A,2.07E+00,nmol_leucine_L_day,
Ozersky,Green_Bay,0.5,BP_C_production_Thymidine,A,Ozersky_Green_Bay_0.5_BP_C_production_Thymidine_A,1.97E+03,ngC/L/d,
Ozersky,Green_Bay,0.5,BP_C_production_Leucine,A,Ozersky_Green_Bay_0.5_BP_C_production_Leucine_A,3.19E+03,ngC/L/d,
Vick-Majors,Keweenaw_Bay_KB,0.5,BP_Thymidine_Incorporation,A,Vick-Majors_Keweenaw_Bay_KB_0.5_BP_Thymidine_Incorporation_A,3.47E-01,nmol_thymidine_L_day,
Vick-Majors,Keweenaw_Bay_KB,0.5,BP_Leucine_Incorporation,A,Vick-Majors_Keweenaw_Bay_KB_0.5_BP_Leucine_Incorporation_A,2.80E+00,nmol_leucine_L_day,
Vick-Majors,Keweenaw_Bay_KB,0.5,BP_C_production_Thymidine,A,Vick-Majors_Keweenaw_Bay_KB_0.5_BP_C_production_Thymidine_A,7.63E+03,ngC/L/d,
Vick-Majors,Keweenaw_Bay_KB,0.5,BP_C_production_Leucine,A,Vick-Majors_Keweenaw_Bay_KB_0.5_BP_C_production_Leucine_A,4.31E+03,ngC/L/d,
Vick-Majors,Keweenaw_Waterway_KW,0.5,BP_Thymidine_Incorporation,A,Vick-Majors_Keweenaw_Waterway_KW_0.5_BP_Thymidine_Incorporation_A,3.74E-02,nmol_thymidine_L_day,
Vick-Majors,Keweenaw_Waterway_KW,0.5,BP_Leucine_Incorporation,A,Vick-Majors_Keweenaw_Waterway_KW_0.5_BP_Leucine_Incorporation_A,1.41E+00,nmol_leucine_L_day,
Vick-Majors,Keweenaw_Waterway_KW,0.5,BP_C_production_Thymidine,A,Vick-Majors_Keweenaw_Waterway_KW_0.5_BP_C_production_Thymidine_A,8.22E+02,ngC/L/d,
Vick-Majors,Keweenaw_Waterway_KW,0.5,BP_C_production_Leucine,A,Vick-Majors_Keweenaw_Waterway_KW_0.5_BP_C_production_Leucine_A,2.17E+03,ngC/L/d,
McKay,LSC-MB,1,BP_Thymidine_Incorporation,A,McKay_LSC-MB_1_BP_Thymidine_Incorporation_A,1.73E-01,nmol_thymidine_L_day,
McKay,LSC-MB,1,BP_Leucine_Incorporation,A,McKay_LSC-MB_1_BP_Leucine_Incorporation_A,2.23E+00,nmol_leucine_L_day,
McKay,LSC-MB,1,BP_C_production_Thymidine,A,McKay_LSC-MB_1_BP_C_production_Thymidine_A,3.80E+03,ngC/L/d,
McKay,LSC-MB,1,BP_C_production_Leucine,A,McKay_LSC-MB_1_BP_C_production_Leucine_A,3.43E+03,ngC/L/d,
Doubek,Saint_Martin_Bay_SM-LH,1,BP_Thymidine_Incorporation,A,Doubek_Saint_Martin_Bay_SM-LH_1_BP_Thymidine_Incorporation_A,1.97E-02,nmol_thymidine_L_day,
Doubek,Saint_Martin_Bay_SM-LH,1,BP_Leucine_Incorporation,A,Doubek_Saint_Martin_Bay_SM-LH_1_BP_Leucine_Incorporation_A,1.18E-01,nmol_leucine_L_day,
Doubek,Saint_Martin_Bay_SM-LH,1,BP_C_production_Thymidine,A,Doubek_Saint_Martin_Bay_SM-LH_1_BP_C_production_Thymidine_A,4.34E+02,ngC/L/d,
Doubek,Saint_Martin_Bay_SM-LH,1,BP_C_production_Leucine,A,Doubek_Saint_Martin_Bay_SM-LH_1_BP_C_production_Leucine_A,1.82E+02,ngC/L/d,
Bullerjahn/McKay,Sandusky_Bay,0.5,BP_Thymidine_Incorporation,A,Bullerjahn/McKay_Sandusky_Bay_0.5_BP_Thymidine_Incorporation_A,4.39E-01,nmol_thymidine_L_day,
Bullerjahn/McKay,Sandusky_Bay,0.5,BP_C_production_Thymidine,A,Bullerjahn/McKay_Sandusky_Bay_0.5_BP_C_production_Thymidine_A,9.65E+03,ngC/L/d,
Bullerjahn/McKay,Sandusky_Bay,0.5,BP_Leucine_Incorporation,A,Bullerjahn/McKay_Sandusky_Bay_0.5_BP_Leucine_Incorporation_A,9.03E+00,nmol_leucine_L_day,
Bullerjahn/McKay,Sandusky_Bay,0.5,BP_C_production_Leucine,A,Bullerjahn/McKay_Sandusky_Bay_0.5_BP_C_production_Leucine_A,1.39E+04,ngC/L/d,
Godwin,SB1,0.7,BP_Thymidine_Incorporation,A,Godwin_SB1_0.7_BP_Thymidine_Incorporation_A,7.31E-02,nmol_thymidine_L_day,
Godwin,SB1,0.7,BP_Leucine_Incorporation,A,Godwin_SB1_0.7_BP_Leucine_Incorporation_A,5.91E-01,nmol_leucine_L_day,
