pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_mg.l,notes
Ozersky,Apostles,0.4,NO3,A,Ozersky_Apostles_0.4_NO3_A,0.368,mg.L,0.003,
Ozersky,Apostles,0.4,NO3,B,Ozersky_Apostles_0.4_NO3_B,0.368,mg.L,0.003,
Ozersky,Apostles,31,NO3,A,Ozersky_Apostles_31_NO3_A,0.362,mg.L,0.003,
Ozersky,Apostles,31,NO3,B,Ozersky_Apostles_31_NO3_B,0.369,mg.L,0.003,
McGregor/Twiss,BI_Birch_Island,0,NO3,A,McGregor/Twiss_BI_Birch_Island_0_NO3_A,0.15,mg.L,0.003,
McGregor/Twiss,BI_Birch_Island,0,NO3,B,McGregor/Twiss_BI_Birch_Island_0_NO3_B,0.14,mg.L,0.003,
Pearce/Xenopolous,BQ1,0,NO3,A,Pearce/Xenopolous_BQ1_0_NO3_A,0.336,mg.L,0.003,
Pearce/Xenopolous,BQ1,0,NO3,B,Pearce/Xenopolous_BQ1_0_NO3_B,0.322,mg.L,0.003,
Pearce/Xenopolous,BQ1,9,NO3,A,Pearce/Xenopolous_BQ1_9_NO3_A,0.308,mg.L,0.003,
Pearce/Xenopolous,BQ1,9,NO3,B,Pearce/Xenopolous_BQ1_9_NO3_B,0.316,mg.L,0.003,
Currie,Bronte_Pier,0,NO3,A,Currie_Bronte_Pier_0_NO3_A,0.645,mg.L,0.003,
Currie,Bronte_Pier,0,NO3,B,Currie_Bronte_Pier_0_NO3_B,0.614,mg.L,0.003,
Currie,CCIW_Hamilton_Harbour,1,NO3,A,Currie_CCIW_Hamilton_Harbour_1_NO3_A,2.007,mg.L,0.003,
Currie,CCIW_Hamilton_Harbour,1,NO3,B,Currie_CCIW_Hamilton_Harbour_1_NO3_B,1.99,mg.L,0.003,
Currie,CCIW_Hamilton_Harbour,6,NO3,A,Currie_CCIW_Hamilton_Harbour_6_NO3_A,0.101,mg.L,0.003,
Currie,CCIW_Hamilton_Harbour,6,NO3,B,Currie_CCIW_Hamilton_Harbour_6_NO3_B,ND,wasnít enough sample,0.003,
McKay,EC_1,0.5,NO3,A,McKay_EC_1_0.5_NO3_A,0.361,mg.L,0.003,
McKay,EC_1,0.5,NO3,B,McKay_EC_1_0.5_NO3_B,0.359,mg.L,0.003,
McKay,EC_1,9,NO3,A,McKay_EC_1_9_NO3_A,0.29,mg.L,0.003,
McKay,EC_1,9,NO3,B,McKay_EC_1_9_NO3_B,0.315,mg.L,0.003,
McKay,EC_12,0.5,NO3,A,McKay_EC_12_0.5_NO3_A,0.298,mg.L,0.003,
McKay,EC_12,0.5,NO3,B,McKay_EC_12_0.5_NO3_B,0.307,mg.L,0.003,
McKay,EC_1326,0.5,NO3,A,McKay_EC_1326_0.5_NO3_A,0.12,mg.L,0.003,
McKay,EC_1326,0.5,NO3,B,McKay_EC_1326_0.5_NO3_B,0.106,mg.L,0.003,
McKay,EC_3,0.5,NO3,A,McKay_EC_3_0.5_NO3_A,0.298,mg.L,0.003,
McKay,EC_3,0.5,NO3,B,McKay_EC_3_0.5_NO3_B,0.293,mg.L,0.003,
McKay,EC_341,0.5,NO3,A,McKay_EC_341_0.5_NO3_A,0.067,mg.L,0.003,
McKay,EC_341,0.5,NO3,B,McKay_EC_341_0.5_NO3_B,0.078,mg.L,0.003,
McKay,EC_84,0.5,NO3,A,McKay_EC_84_0.5_NO3_A,0.061,mg.L,0.003,
McKay,EC_84,0.5,NO3,B,McKay_EC_84_0.5_NO3_B,0.046,mg.L,0.003,
McKay,EC_9,0.5,NO3,A,McKay_EC_9_0.5_NO3_A,0.313,mg.L,0.003,
McKay,EC_9,0.5,NO3,B,McKay_EC_9_0.5_NO3_B,0.295,mg.L,0.003,
McKay,EC_970,0.5,NO3,A,McKay_EC_970_0.5_NO3_A,0.388,mg.L,0.003,
McKay,EC_970,0.5,NO3,B,McKay_EC_970_0.5_NO3_B,0.408,mg.L,0.003,
McKay,ER_78M,0.5,NO3,A,McKay_ER_78M_0.5_NO3_A,3.312,mg.L,0.003,
McKay,ER_78M,0.5,NO3,B,McKay_ER_78M_0.5_NO3_B,3.312,mg.L,0.003,
McKay,ER_91M,0.5,NO3,A,McKay_ER_91M_0.5_NO3_A,0.468,mg.L,0.003,
McKay,ER_91M,0.5,NO3,B,McKay_ER_91M_0.5_NO3_B,0.455,mg.L,0.003,
Pearce/Xenopolous,GB1,0.45,NO3,A,Pearce/Xenopolous_GB1_0.45_NO3_A,0.189,mg.L,0.003,
Pearce/Xenopolous,GB1,0.45,NO3,B,Pearce/Xenopolous_GB1_0.45_NO3_B,0.179,mg.L,0.003,
Pearce/Xenopolous,GB1,7,NO3,A,Pearce/Xenopolous_GB1_7_NO3_A,0.178,mg.L,0.003,
Pearce/Xenopolous,GB1,7,NO3,B,Pearce/Xenopolous_GB1_7_NO3_B,0.365,mg.L,0.003,
McKay,GR001,0.5,NO3,A,McKay_GR001_0.5_NO3_A,0.504,mg.L,0.003,
McKay,GR001,0.5,NO3,B,McKay_GR001_0.5_NO3_B,0.53,mg.L,0.003,
Ozersky,Green_Bay,0.5,NO3,A,Ozersky_Green_Bay_0.5_NO3_A,0.274,mg.L,0.003,
Ozersky,Green_Bay,0.5,NO3,B,Ozersky_Green_Bay_0.5_NO3_B,0.272,mg.L,0.003,
Ozersky,Green_Bay,5,NO3,A,Ozersky_Green_Bay_5_NO3_A,0.5,mg.L,0.003,
Ozersky,Green_Bay,5,NO3,B,Ozersky_Green_Bay_5_NO3_B,0.477,mg.L,0.003,
Vick-Majors,Keweenaw_Bay_KB,0.5,NO3,A,Vick-Majors_Keweenaw_Bay_KB_0.5_NO3_A,0.181,mg.L,0.003,
Vick-Majors,Keweenaw_Bay_KB,0.5,NO3,B,Vick-Majors_Keweenaw_Bay_KB_0.5_NO3_B,0.363,mg.L,0.003,
Vick-Majors,Keweenaw_Bay_KB,17.5,NO3,A,Vick-Majors_Keweenaw_Bay_KB_17.5_NO3_A,0.403,mg.L,0.003,
Vick-Majors,Keweenaw_Bay_KB,17.5,NO3,B,Vick-Majors_Keweenaw_Bay_KB_17.5_NO3_B,0.372,mg.L,0.003,
Vick-Majors,Keweenaw_Waterway_KW,0.5,NO3,A,Vick-Majors_Keweenaw_Waterway_KW_0.5_NO3_A,0.365,mg.L,0.003,
Vick-Majors,Keweenaw_Waterway_KW,0.5,NO3,B,Vick-Majors_Keweenaw_Waterway_KW_0.5_NO3_B,0.39,mg.L,0.003,
