pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_mg.l,notes
Vick-Majors,Keweenaw_Waterway_KW,5.5,NO3,A,Vick-Majors_Keweenaw_Waterway_KW_5.5_NO3_A,0.387,mg.L,0.003,
Vick-Majors,Keweenaw_Waterway_KW,5.5,NO3,B,Vick-Majors_Keweenaw_Waterway_KW_5.5_NO3_B,0.408,mg.L,0.003,
McGregor/Twiss,LC_Little_Current,0,NO3,A,McGregor/Twiss_LC_Little_Current_0_NO3_A,0.167,mg.L,0.003,
McGregor/Twiss,LC_Little_Current,0,NO3,B,McGregor/Twiss_LC_Little_Current_0_NO3_B,0.165,mg.L,0.003,
Eveleth,Lorain,0.2,NO3,A,Eveleth_Lorain_0.2_NO3_A,0.703,mg.L,0.003,
Eveleth,Lorain,0.2,NO3,B,Eveleth_Lorain_0.2_NO3_B,0.687,mg.L,0.003,
Eveleth,Lorain,2,NO3,A,Eveleth_Lorain_2_NO3_A,0.678,mg.L,0.003,
Eveleth,Lorain,2,NO3,B,Eveleth_Lorain_2_NO3_B,0.503,mg.L,0.003,
McKay,LSC-MB,1,NO3,A,McKay_LSC-MB_1_NO3_A,0.582,mg.L,0.003,
McKay,LSC-MB,1,NO3,B,McKay_LSC-MB_1_NO3_B,0.576,mg.L,0.003,
McKay/Bullerjahn,NB22-002,0.5,NO3,A,McKay/Bullerjahn_NB22-002_0.5_NO3_A,0.692,mg.L,0.003,
McKay/Bullerjahn,NB22-002,0.5,NO3,B,McKay/Bullerjahn_NB22-002_0.5_NO3_B,0.628,mg.L,0.003,
McKay/Bullerjahn,NB22-003,0.5,NO3,A,McKay/Bullerjahn_NB22-003_0.5_NO3_A,0.415,mg.L,0.003,
McKay/Bullerjahn,NB22-003,0.5,NO3,B,McKay/Bullerjahn_NB22-003_0.5_NO3_B,0.426,mg.L,0.003,
McKay/Bullerjahn,NB22-004,0.5,NO3,A,McKay/Bullerjahn_NB22-004_0.5_NO3_A,0.448,mg.L,0.003,
McKay/Bullerjahn,NB22-004,0.5,NO3,B,McKay/Bullerjahn_NB22-004_0.5_NO3_B,0.461,mg.L,0.003,
McKay,NB22-005,0.5,NO3,A,McKay_NB22-005_0.5_NO3_A,0.064,mg.L,0.003,
McKay,NB22-005,0.5,NO3,B,McKay_NB22-005_0.5_NO3_B,0.062,mg.L,0.003,
McKay,NB22-006,0.5,NO3,A,McKay_NB22-006_0.5_NO3_A,0.441,mg.L,0.003,
McKay,NB22-006,0.5,NO3,B,McKay_NB22-006_0.5_NO3_B,0.452,mg.L,0.003,
McKay,NB22-007,0.5,NO3,A,McKay_NB22-007_0.5_NO3_A,0.397,mg.L,0.003,
McKay,NB22-007,0.5,NO3,B,McKay_NB22-007_0.5_NO3_B,0.403,mg.L,0.003,
Bramburger,Ontario_-_St._Catharines,1,NO3,A,Bramburger_Ontario_-_St._Catharines_1_NO3_A,0.288,mg.L,0.003,
Bramburger,Ontario_-_St._Catharines,1,NO3,B,Bramburger_Ontario_-_St._Catharines_1_NO3_B,0.29,mg.L,0.003,
Depew,Parry_Sound_Georgian_Bay,1,NO3,A,Depew_Parry_Sound_Georgian_Bay_1_NO3_A,0.244,mg.L,0.003,
Depew,Parry_Sound_Georgian_Bay,1,NO3,B,Depew_Parry_Sound_Georgian_Bay_1_NO3_B,0.237,mg.L,0.003,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,NO3,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_NO3_A,0.71,mg.L,0.003,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,NO3,B,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_NO3_B,0.704,mg.L,0.003,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,NO3,A,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_NO3_A,0.058,mg.L,0.003,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,NO3,B,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_NO3_B,0.057,mg.L,0.003,
Zastepa,RW_Ridgeway_Abino_Bay,1,NO3,A,Zastepa_RW_Ridgeway_Abino_Bay_1_NO3_A,0.22,mg.L,0.003,
Zastepa,RW_Ridgeway_Abino_Bay,1,NO3,B,Zastepa_RW_Ridgeway_Abino_Bay_1_NO3_B,0.225,mg.L,0.003,
Karpovich,Saginaw_River,0.3,NO3,A,Karpovich_Saginaw_River_0.3_NO3_A,1.926,mg.L,0.003,
Karpovich,Saginaw_River,0.3,NO3,B,Karpovich_Saginaw_River_0.3_NO3_B,1.28,mg.L,0.003,
Doubek,Saint_Martin_Bay_SM-LH,1,NO3,A,Doubek_Saint_Martin_Bay_SM-LH_1_NO3_A,0.326,mg.L,0.003,
Doubek,Saint_Martin_Bay_SM-LH,1,NO3,B,Doubek_Saint_Martin_Bay_SM-LH_1_NO3_B,0.335,mg.L,0.003,
Doubek,Saint_Martin_Bay_SM-LH,8.5,NO3,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_NO3_A,0.298,mg.L,0.003,
Doubek,Saint_Martin_Bay_SM-LH,8.5,NO3,B,Doubek_Saint_Martin_Bay_SM-LH_8.5_NO3_B,0.283,mg.L,0.003,
Bullerjahn/McKay,Sandusky_Bay,0.5,NO3,A,Bullerjahn/McKay_Sandusky_Bay_0.5_NO3_A,3.209,mg.L,0.003,
Bullerjahn/McKay,Sandusky_Bay,0.5,NO3,B,Bullerjahn/McKay_Sandusky_Bay_0.5_NO3_B,3.314,mg.L,0.003,
Bullerjahn/McKay,Sandusky_Bay,1,NO3,A,Bullerjahn/McKay_Sandusky_Bay_1_NO3_A,3.854,mg.L,0.003,
Bullerjahn/McKay,Sandusky_Bay,1,NO3,B,Bullerjahn/McKay_Sandusky_Bay_1_NO3_B,4.074,mg.L,0.003,
Godwin,SB14,3,NO3,A,Godwin_SB14_3_NO3_A,0.685,mg.L,0.003,
Godwin,SB14,3,NO3,B,Godwin_SB14_3_NO3_B,0.809,mg.L,0.003,
Godwin,SB1,0.7,NO3,A,Godwin_SB1_0.7_NO3_A,1.013,mg.L,0.003,
Godwin,SB1,0.7,NO3,B,Godwin_SB1_0.7_NO3_B,0.97,mg.L,0.003,
Godwin,SB14,0.7,NO3,A,Godwin_SB14_0.7_NO3_A,0.837,mg.L,0.003,
Godwin,SB14,0.7,NO3,B,Godwin_SB14_0.7_NO3_B,0.839,mg.L,0.003,
Rennie,Silver_Harbour_Thunder_Bay,0,NO3,A,Rennie_Silver_Harbour_Thunder_Bay_0_NO3_A,0.408,mg.L,0.003,
Rennie,Silver_Harbour_Thunder_Bay,0,NO3,B,Rennie_Silver_Harbour_Thunder_Bay_0_NO3_B,0.393,mg.L,0.003,
Rennie,Silver_Harbour_Thunder_Bay,10,NO3,A,Rennie_Silver_Harbour_Thunder_Bay_10_NO3_A,0.388,mg.L,0.003,
Rennie,Silver_Harbour_Thunder_Bay,10,NO3,B,Rennie_Silver_Harbour_Thunder_Bay_10_NO3_B,0.376,mg.L,0.003,
Chaffin,South_Bass_Island,0.5,NO3,A,Chaffin_South_Bass_Island_0.5_NO3_A,0.812,mg.L,0.003,
Chaffin,South_Bass_Island,0.5,NO3,B,Chaffin_South_Bass_Island_0.5_NO3_B,0.805,mg.L,0.003,
Chaffin,South_Bass_Island,9,NO3,A,Chaffin_South_Bass_Island_9_NO3_A,0.98,mg.L,0.003,
Chaffin,South_Bass_Island,9,NO3,B,Chaffin_South_Bass_Island_9_NO3_B,0.989,mg.L,0.003,
Twiss,U17,0,NO3,A,Twiss_U17_0_NO3_A,0.3,mg.L,0.003,
Twiss,U17,0,NO3,B,Twiss_U17_0_NO3_B,0.283,mg.L,0.003,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,NO3,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_NO3_A,1.179,mg.L,0.003,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,NO3,B,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_NO3_B,1.125,mg.L,0.003,
Vanderploeg,WE6,0.25,NO3,A,Vanderploeg_WE6_0.25_NO3_A,1.24,mg.L,0.003,
Vanderploeg,WE6,0.25,NO3,B,Vanderploeg_WE6_0.25_NO3_B,2.549,mg.L,0.003,
Vanderploeg,WE6,2.7,NO3,A,Vanderploeg_WE6_2.7_NO3_A,2.476,mg.L,0.003,
Vanderploeg,WE6,2.7,NO3,B,Vanderploeg_WE6_2.7_NO3_B,1.871,mg.L,0.003,
Doubek,Whitefish_Bay_WB-LS,1,NO3,A,Doubek_Whitefish_Bay_WB-LS_1_NO3_A,0.417,mg.L,0.003,
Doubek,Whitefish_Bay_WB-LS,1,NO3,B,Doubek_Whitefish_Bay_WB-LS_1_NO3_B,0.415,mg.L,0.003,
Doubek,Whitefish_Bay_WB-LS,9,NO3,A,Doubek_Whitefish_Bay_WB-LS_9_NO3_A,0.37,mg.L,0.003,
Doubek,Whitefish_Bay_WB-LS,9,NO3,B,Doubek_Whitefish_Bay_WB-LS_9_NO3_B,0.371,mg.L,0.003,
Zastepa,WP_Waverly_Beach_Park,1,NO3,A,Zastepa_WP_Waverly_Beach_Park_1_NO3_A,0.146,mg.L,0.003,
Zastepa,WP_Waverly_Beach_Park,1,NO3,B,Zastepa_WP_Waverly_Beach_Park_1_NO3_B,0.153,mg.L,0.003,
