pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
McKay,EC_970,0.5,TDP,A,McKay_EC_970_0.5_TDP_A,15.56,ug.L,0.6,
McKay,EC_970,0.5,TDP,B,McKay_EC_970_0.5_TDP_B,7.07,ug.L,0.6,
McKay,EC_970,0.5,TDP,C,McKay_EC_970_0.5_TDP_C,8.02,ug.L,0.6,
McKay,ER_78M,0.5,TDP,A,McKay_ER_78M_0.5_TDP_A,11.2,ug.L,0.6,
McKay,ER_78M,0.5,TDP,B,McKay_ER_78M_0.5_TDP_B,10.6,ug.L,0.6,
McKay,ER_78M,0.5,TDP,C,McKay_ER_78M_0.5_TDP_C,8.55,ug.L,0.6,
McKay,ER_91M,0.5,TDP,A,McKay_ER_91M_0.5_TDP_A,8.56,ug.L,0.6,
McKay,ER_91M,0.5,TDP,B,McKay_ER_91M_0.5_TDP_B,7.95,ug.L,0.6,
McKay,ER_91M,0.5,TDP,C,McKay_ER_91M_0.5_TDP_C,8.56,ug.L,0.6,
Pearce/Xenopolous,GB1,0.45,TDP,A,Pearce/Xenopolous_GB1_0.45_TDP_A,8.48,ug.L,0.6,
Pearce/Xenopolous,GB1,0.45,TDP,B,Pearce/Xenopolous_GB1_0.45_TDP_B,36.6,ug.L,0.6,
Pearce/Xenopolous,GB1,0.45,TDP,C,Pearce/Xenopolous_GB1_0.45_TDP_C,7.34,ug.L,0.6,
Pearce/Xenopolous,GB1,7,TDP,A,Pearce/Xenopolous_GB1_7_TDP_A,7.76,ug.L,0.6,
Pearce/Xenopolous,GB1,7,TDP,B,Pearce/Xenopolous_GB1_7_TDP_B,7.2,ug.L,0.6,
Pearce/Xenopolous,GB1,7,TDP,C,Pearce/Xenopolous_GB1_7_TDP_C,7.58,ug.L,0.6,
McKay,GR001,0.5,TDP,A,McKay_GR001_0.5_TDP_A,7.96,ug.L,0.6,
McKay,GR001,0.5,TDP,B,McKay_GR001_0.5_TDP_B,8.35,ug.L,0.6,
McKay,GR001,0.5,TDP,C,McKay_GR001_0.5_TDP_C,7.69,ug.L,0.6,
Ozersky,Green_Bay,0.5,TDP,A,Ozersky_Green_Bay_0.5_TDP_A,7.87,ug.L,0.6,
Ozersky,Green_Bay,0.5,TDP,B,Ozersky_Green_Bay_0.5_TDP_B,8.87,ug.L,0.6,
Ozersky,Green_Bay,0.5,TDP,C,Ozersky_Green_Bay_0.5_TDP_C,8.82,ug.L,0.6,
Ozersky,Green_Bay,5,TDP,A,Ozersky_Green_Bay_5_TDP_A,8.95,ug.L,0.6,
Ozersky,Green_Bay,5,TDP,B,Ozersky_Green_Bay_5_TDP_B,10.31,ug.L,0.6,
Ozersky,Green_Bay,5,TDP,C,Ozersky_Green_Bay_5_TDP_C,7.57,ug.L,0.6,
Vick-Majors,Keweenaw_Bay_KB,0.5,TDP,A,Vick-Majors_Keweenaw_Bay_KB_0.5_TDP_A,4.85,ug.L,0.6,
Vick-Majors,Keweenaw_Bay_KB,0.5,TDP,B,Vick-Majors_Keweenaw_Bay_KB_0.5_TDP_B,5.59,ug.L,0.6,
Vick-Majors,Keweenaw_Bay_KB,0.5,TDP,C,Vick-Majors_Keweenaw_Bay_KB_0.5_TDP_C,5.24,ug.L,0.6,
Vick-Majors,Keweenaw_Bay_KB,17.5,TDP,A,Vick-Majors_Keweenaw_Bay_KB_17.5_TDP_A,4.09,ug.L,0.6,
Vick-Majors,Keweenaw_Bay_KB,17.5,TDP,B,Vick-Majors_Keweenaw_Bay_KB_17.5_TDP_B,3.99,ug.L,0.6,
Vick-Majors,Keweenaw_Bay_KB,17.5,TDP,C,Vick-Majors_Keweenaw_Bay_KB_17.5_TDP_C,4.79,ug.L,0.6,
Vick-Majors,Keweenaw_Waterway_KW,0.5,TDP,A,Vick-Majors_Keweenaw_Waterway_KW_0.5_TDP_A,10.4,ug.L,0.6,
Vick-Majors,Keweenaw_Waterway_KW,0.5,TDP,B,Vick-Majors_Keweenaw_Waterway_KW_0.5_TDP_B,8.51,ug.L,0.6,
Vick-Majors,Keweenaw_Waterway_KW,0.5,TDP,C,Vick-Majors_Keweenaw_Waterway_KW_0.5_TDP_C,8.47,ug.L,0.6,
Vick-Majors,Keweenaw_Waterway_KW,5.5,TDP,A,Vick-Majors_Keweenaw_Waterway_KW_5.5_TDP_A,8.76,ug.L,0.6,
Vick-Majors,Keweenaw_Waterway_KW,5.5,TDP,B,Vick-Majors_Keweenaw_Waterway_KW_5.5_TDP_B,7.99,ug.L,0.6,
Vick-Majors,Keweenaw_Waterway_KW,5.5,TDP,C,Vick-Majors_Keweenaw_Waterway_KW_5.5_TDP_C,7.93,ug.L,0.6,
McGregor/Twiss,LC_Little_Current,0,TDP,A,McGregor/Twiss_LC_Little_Current_0_TDP_A,5.23,ug.L,0.6,
McGregor/Twiss,LC_Little_Current,0,TDP,B,McGregor/Twiss_LC_Little_Current_0_TDP_B,6.3,ug.L,0.6,
McGregor/Twiss,LC_Little_Current,0,TDP,C,McGregor/Twiss_LC_Little_Current_0_TDP_C,2.76,ug.L,0.6,
Eveleth,Lorain,0.2,TDP,A,Eveleth_Lorain_0.2_TDP_A,23.22,ug.L,0.6,
Eveleth,Lorain,0.2,TDP,B,Eveleth_Lorain_0.2_TDP_B,20.78,ug.L,0.6,
Eveleth,Lorain,0.2,TDP,C,Eveleth_Lorain_0.2_TDP_C,21.08,ug.L,0.6,
Eveleth,Lorain,2,TDP,A,Eveleth_Lorain_2_TDP_A,39.3,ug.L,0.6,
Eveleth,Lorain,2,TDP,B,Eveleth_Lorain_2_TDP_B,35.08,ug.L,0.6,
Eveleth,Lorain,2,TDP,C,Eveleth_Lorain_2_TDP_C,37.99,ug.L,0.6,
McKay,LSC-MB,1,TDP,A,McKay_LSC-MB_1_TDP_A,15.66,ug.L,0.6,
McKay,LSC-MB,1,TDP,B,McKay_LSC-MB_1_TDP_B,14.43,ug.L,0.6,
McKay,LSC-MB,1,TDP,C,McKay_LSC-MB_1_TDP_C,16.74,ug.L,0.6,
