pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_ml-1,notes
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,Pelagohalteria_Sp1_cell_mL-1,0,
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,Peridinium_inconspicum_cell_mL-1,0,
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,Strombidum_Sp1_cell_mL-1,0.01,
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,Strobilidium_Sp1_cell_mL-1,0.02,
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,Titinnidium_spp_cell_mL-1,0,
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,Urotricha_farcta_cell_mL-1,0.04,
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,Urotricha_Sp2_cell_mL-1,0.01,
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,Vorticella_campanula_cell_mL-1,0,
Ozersky,Green_Bay,0,ciliated_protist_abundance,Ozersky_Green_Bay_0_ciliated_protist_abundance,TOTAL_cell_mL-1,0.22,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Cyclidium_spp_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Gymnodinium_helveticum_cell_mL-1,0.01,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Gymnodinium_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Gymnodinium_varians_cell_mL-1,0.01,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Halteria_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Mallomonas_pseudocoronata_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Mesodinium_Sp2_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Monodinium_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Pelagohalteria_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Peridinium_inconspicum_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Strombidum_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Strobilidium_Sp1_cell_mL-1,0.01,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Titinnidium_spp_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Urotricha_farcta_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Urotricha_Sp2_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,Vorticella_campanula_cell_mL-1,0,
Vick-Majors,Keweenaw_Bay_KB,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Bay_KB_0_ciliated_protist_abundance,TOTAL_cell_mL-1,0.02,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Cyclidium_spp_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Gymnodinium_helveticum_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Gymnodinium_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Gymnodinium_varians_cell_mL-1,0.01,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Halteria_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Mallomonas_pseudocoronata_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Mesodinium_Sp2_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Monodinium_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Pelagohalteria_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Peridinium_inconspicum_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Strombidum_Sp1_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Strobilidium_Sp1_cell_mL-1,0.01,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Titinnidium_spp_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Urotricha_farcta_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Urotricha_Sp2_cell_mL-1,0,
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,Vorticella_campanula_cell_mL-1,0,
