pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Vick-Majors,Keweenaw_Waterway_KW,5.5,chloride,B,Vick-Majors_Keweenaw_Waterway_KW_5.5_chloride_B,4.193309215,ppm,
McGregor/Twiss,LC_Little_Current,0,chloride,A,McGregor/Twiss_LC_Little_Current_0_chloride_A,9.791659642,ppm,
McGregor/Twiss,LC_Little_Current,0,chloride,B,McGregor/Twiss_LC_Little_Current_0_chloride_B,9.258748479,ppm,
Eveleth,Lorain,0.2,chloride,A,Eveleth_Lorain_0.2_chloride_A,23.06188541,ppm,
Eveleth,Lorain,0.2,chloride,B,Eveleth_Lorain_0.2_chloride_B,23.16137564,ppm,
Eveleth,Lorain,2,chloride,A,Eveleth_Lorain_2_chloride_A,22.86418521,ppm,
Eveleth,Lorain,2,chloride,B,Eveleth_Lorain_2_chloride_B,22.96282255,ppm,
McKay,LSC-MB,1,chloride,A,McKay_LSC-MB_1_chloride_A,18.12176768,ppm,
McKay,LSC-MB,1,chloride,B,McKay_LSC-MB_1_chloride_B,19.92188565,ppm,
McKay,NB22-005,0.5,chloride,A,McKay_NB22-005_0.5_chloride_A,26.69679809,ppm,
McKay,NB22-005,0.5,chloride,B,McKay_NB22-005_0.5_chloride_B,26.92763782,ppm,
Bramburger,Ontario_-_St._Catharines,1,chloride,A,Bramburger_Ontario_-_St._Catharines_1_chloride_A,29.98725843,ppm,
Bramburger,Ontario_-_St._Catharines,1,chloride,B,Bramburger_Ontario_-_St._Catharines_1_chloride_B,32.26405475,ppm,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,chloride,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_chloride_A,31.44138762,ppm,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,chloride,B,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_chloride_B,32.12546376,ppm,
Depew,Parry_Sound_Georgian_Bay,1,chloride,A,Depew_Parry_Sound_Georgian_Bay_1_chloride_A,13.17815414,ppm,
Depew,Parry_Sound_Georgian_Bay,1,chloride,B,Depew_Parry_Sound_Georgian_Bay_1_chloride_B,13.12154708,ppm,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,chloride,A,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_chloride_A,6.879454651,ppm,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,chloride,B,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_chloride_B,7.059456287,ppm,
Karpovich,Saginaw_River,0.3,chloride,A,Karpovich_Saginaw_River_0.3_chloride_A,161.4087161,ppm,
Karpovich,Saginaw_River,0.3,chloride,B,Karpovich_Saginaw_River_0.3_chloride_B,159.3376333,ppm,
Godwin,SB14,0.7,chloride,A,Godwin_SB14_0.7_chloride_A,28.84768058,ppm,
