pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
Bramburger,Ontario_-_St._Catharines,1,TP,A,Bramburger_Ontario_-_St._Catharines_1_TP_A,6.43,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,TP,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_TP_A,5.04,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Depew,Parry_Sound_Georgian_Bay,1,TP,A,Depew_Parry_Sound_Georgian_Bay_1_TP_A,5.87,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,TP,A,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_TP_A,4.71,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Zastepa,RW_Ridgeway_Abino_Bay,1,TP,A,Zastepa_RW_Ridgeway_Abino_Bay_1_TP_A,17.8,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Karpovich,Saginaw_River,0.3,TP,A,Karpovich_Saginaw_River_0.3_TP_A,13.26,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Bullerjahn/McKay,Sandusky_Bay,0.5,TP,A,Bullerjahn/McKay_Sandusky_Bay_0.5_TP_A,23.86,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Bullerjahn/McKay,Sandusky_Bay,1,TP,A,Bullerjahn/McKay_Sandusky_Bay_1_TP_A,28.71,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Godwin,SB1,0.7,TP,A,Godwin_SB1_0.7_TP_A,24.9,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Godwin,SB14,0.7,TP,A,Godwin_SB14_0.7_TP_A,4.83,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Godwin,SB14,3,TP,A,Godwin_SB14_3_TP_A,4.71,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Chaffin,South_Bass_Island,0.5,TP,A,Chaffin_South_Bass_Island_0.5_TP_A,8.01,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Chaffin,South_Bass_Island,9,TP,A,Chaffin_South_Bass_Island_9_TP_A,9.12,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Rennie,Silver_Harbour_Thunder_Bay,0,TP,A,Rennie_Silver_Harbour_Thunder_Bay_0_TP_A,5.14,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Rennie,Silver_Harbour_Thunder_Bay,10,TP,A,Rennie_Silver_Harbour_Thunder_Bay_10_TP_A,4.88,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Doubek,Saint_Martin_Bay_SM-LH,1,TP,A,Doubek_Saint_Martin_Bay_SM-LH_1_TP_A,5.39,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Doubek,Saint_Martin_Bay_SM-LH,8.5,TP,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_TP_A,5.37,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Twiss,U17,0,TP,A,Twiss_U17_0_TP_A,4.24,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,TP,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_TP_A,5.98,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Doubek,Whitefish_Bay_WB-LS,1,TP,A,Doubek_Whitefish_Bay_WB-LS_1_TP_A,5.27,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Doubek,Whitefish_Bay_WB-LS,9,TP,A,Doubek_Whitefish_Bay_WB-LS_9_TP_A,4.41,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Vanderploeg,WE6,0.25,TP,A,Vanderploeg_WE6_0.25_TP_A,12.13,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Vanderploeg,WE6,2.7,TP,A,Vanderploeg_WE6_2.7_TP_A,16.31,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Zastepa,WP_Waverly_Beach_Park,1,TP,A,Zastepa_WP_Waverly_Beach_Park_1_TP_A,5,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
