pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_l-1,notes
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Chrysolykos_planktonicus_Mack_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Chrysophyceae_Cyst_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Chrysophyceae_spp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Dinobryon_cylindricum_Imhof_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Dinobryon_sertularia_Ehrenberg_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Dinobryon_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Epipyxis_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Mallomonas_elongata_Reverdin_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Mallomonas_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Ochromonad_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Ochromonas_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Pseudopedinella_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Rhizochrysis_limnetica_GM_Smith_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Salpingoeca_frequentissima_Zacharias_Lemmermann_cell_L-1,0,
