pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,alkalinity,A,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_alkalinity_A,341,umol/kg,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,alkalinity,B,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_alkalinity_B,339,umol/kg,
McKay,EC_1,0.5,alkalinity,A,McKay_EC_1_0.5_alkalinity_A,1653,umol/kg,
McKay,EC_1,0.5,alkalinity,B,McKay_EC_1_0.5_alkalinity_B,1655,umol/kg,
McKay,EC_1,9,alkalinity,A,McKay_EC_1_9_alkalinity_A,1653,umol/kg,
McKay,EC_1,9,alkalinity,B,McKay_EC_1_9_alkalinity_B,1655,umol/kg,
McKay,EC_12,0.5,alkalinity,A,McKay_EC_12_0.5_alkalinity_A,NA,umol/kg,
McKay,EC_12,0.5,alkalinity,B,McKay_EC_12_0.5_alkalinity_B,NA,umol/kg,
McKay,EC_1326,0.5,alkalinity,A,McKay_EC_1326_0.5_alkalinity_A,NA,umol/kg,
McKay,EC_1326,0.5,alkalinity,B,McKay_EC_1326_0.5_alkalinity_B,NA,umol/kg,
McKay,EC_3,0.5,alkalinity,A,McKay_EC_3_0.5_alkalinity_A,NA,umol/kg,
McKay,EC_3,0.5,alkalinity,B,McKay_EC_3_0.5_alkalinity_B,NA,umol/kg,
McKay,EC_341,0.5,alkalinity,A,McKay_EC_341_0.5_alkalinity_A,1914,umol/kg,
McKay,EC_341,0.5,alkalinity,B,McKay_EC_341_0.5_alkalinity_B,1919,umol/kg,
McKay,EC_84,0.5,alkalinity,A,McKay_EC_84_0.5_alkalinity_A,1952,umol/kg,
McKay,EC_84,0.5,alkalinity,B,McKay_EC_84_0.5_alkalinity_B,1949,umol/kg,
McKay,EC_9,0.5,alkalinity,A,McKay_EC_9_0.5_alkalinity_A,NA,umol/kg,
McKay,EC_9,0.5,alkalinity,B,McKay_EC_9_0.5_alkalinity_B,NA,umol/kg,
McKay,EC_970,0.5,alkalinity,A,McKay_EC_970_0.5_alkalinity_A,NA,umol/kg,
McKay,EC_970,0.5,alkalinity,B,McKay_EC_970_0.5_alkalinity_B,NA,umol/kg,
McKay,ER_78M,0.5,alkalinity,A,McKay_ER_78M_0.5_alkalinity_A,1959,umol/kg,
McKay,ER_78M,0.5,alkalinity,B,McKay_ER_78M_0.5_alkalinity_B,1954,umol/kg,
McKay,ER_91M,0.5,alkalinity,A,McKay_ER_91M_0.5_alkalinity_A,NA,umol/kg,
McKay,ER_91M,0.5,alkalinity,B,McKay_ER_91M_0.5_alkalinity_B,NA,umol/kg,
McKay,GR001,0.5,alkalinity,A,McKay_GR001_0.5_alkalinity_A,NA,umol/kg,
McKay,GR001,0.5,alkalinity,B,McKay_GR001_0.5_alkalinity_B,NA,umol/kg,
McKay,LSC-MB,1,alkalinity,A,McKay_LSC-MB_1_alkalinity_A,NA,umol/kg,
McKay,LSC-MB,1,alkalinity,B,McKay_LSC-MB_1_alkalinity_B,NA,umol/kg,
McKay,NB22-005,0.5,alkalinity,A,McKay_NB22-005_0.5_alkalinity_A,NA,umol/kg,
McKay,NB22-005,0.5,alkalinity,B,McKay_NB22-005_0.5_alkalinity_B,NA,umol/kg,
McKay,NB22-006,0.5,alkalinity,A,McKay_NB22-006_0.5_alkalinity_A,NA,umol/kg,
McKay,NB22-006,0.5,alkalinity,B,McKay_NB22-006_0.5_alkalinity_B,NA,umol/kg,
McKay,NB22-007,0.5,alkalinity,A,McKay_NB22-007_0.5_alkalinity_A,NA,umol/kg,
McKay,NB22-007,0.5,alkalinity,B,McKay_NB22-007_0.5_alkalinity_B,NA,umol/kg,
McKay/Bullerjahn,NB22-002,0.5,alkalinity,A,McKay/Bullerjahn_NB22-002_0.5_alkalinity_A,NA,umol/kg,
McKay/Bullerjahn,NB22-002,0.5,alkalinity,B,McKay/Bullerjahn_NB22-002_0.5_alkalinity_B,NA,umol/kg,
McKay/Bullerjahn,NB22-003,0.5,alkalinity,A,McKay/Bullerjahn_NB22-003_0.5_alkalinity_A,NA,umol/kg,
McKay/Bullerjahn,NB22-003,0.5,alkalinity,B,McKay/Bullerjahn_NB22-003_0.5_alkalinity_B,NA,umol/kg,
McKay/Bullerjahn,NB22-004,0.5,alkalinity,A,McKay/Bullerjahn_NB22-004_0.5_alkalinity_A,NA,umol/kg,
McKay/Bullerjahn,NB22-004,0.5,alkalinity,B,McKay/Bullerjahn_NB22-004_0.5_alkalinity_B,NA,umol/kg,
Ozersky,Apostles,0.4,alkalinity,A,Ozersky_Apostles_0.4_alkalinity_A,930,umol/kg,
Ozersky,Apostles,0.4,alkalinity,B,Ozersky_Apostles_0.4_alkalinity_B,930,umol/kg,
Ozersky,Apostles,31,alkalinity,A,Ozersky_Apostles_31_alkalinity_A,913,umol/kg,
Ozersky,Apostles,31,alkalinity,B,Ozersky_Apostles_31_alkalinity_B,915,umol/kg,
Ozersky,Green_Bay,0.5,alkalinity,A,Ozersky_Green_Bay_0.5_alkalinity_A,3033,umol/kg,
Ozersky,Green_Bay,0.5,alkalinity,B,Ozersky_Green_Bay_0.5_alkalinity_B,3033,umol/kg,
Ozersky,Green_Bay,5,alkalinity,A,Ozersky_Green_Bay_5_alkalinity_A,3326,umol/kg,
Ozersky,Green_Bay,5,alkalinity,B,Ozersky_Green_Bay_5_alkalinity_B,3325,umol/kg,
Pearce/Xenopolous,BQ1,0,alkalinity,A,Pearce/Xenopolous_BQ1_0_alkalinity_A,2487,umol/kg,
Pearce/Xenopolous,BQ1,0,alkalinity,B,Pearce/Xenopolous_BQ1_0_alkalinity_B,2483,umol/kg,
Pearce/Xenopolous,BQ1,9,alkalinity,A,Pearce/Xenopolous_BQ1_9_alkalinity_A,2485,umol/kg,
Pearce/Xenopolous,BQ1,9,alkalinity,B,Pearce/Xenopolous_BQ1_9_alkalinity_B,2485,umol/kg,
Pearce/Xenopolous,GB1,0.45,alkalinity,A,Pearce/Xenopolous_GB1_0.45_alkalinity_A,1672,umol/kg,
