gene_symbol,gene_id,MFF.CY.1,MFF.CY.2,MFF.CY.3,MFF.DY.1,MFF.DY.2,MFF.DY.3,subcellular_locations,source_organism,normoxia_mean,hypoxia_mean,fold_change,expr_variance,organelle
tppp3,tppp3,2.70805020110221,3.8918202981106265,3.4339872044851463,3.5553480614894135,3.784189633918261,3.8918202981106265,Cytoplasm,9606,3.3446192345659944,3.7437859978394337,0.12680918455626575,0.20213847868623613,Cytoplasm
tppp3,tppp3,2.70805020110221,3.8918202981106265,3.4339872044851463,3.5553480614894135,3.784189633918261,3.8918202981106265,Cytoplasm,9606,3.3446192345659944,3.7437859978394337,0.12680918455626575,0.20213847868623613,Cytoplasm
tppp3,tppp3,2.70805020110221,3.8918202981106265,3.4339872044851463,3.5553480614894135,3.784189633918261,3.8918202981106265,cytoskeleton,9606,3.3446192345659944,3.7437859978394337,0.12680918455626575,0.20213847868623613,Other
zdhhc1,zdhhc1,6.63200177739563,6.790097235513905,6.827629234502852,6.952728644624869,6.519147287940395,6.728628613084702,Endoplasmic reticulum membrane,7955,6.749909415804129,6.7335015152166555,-0.0030576732446532325,0.023198697052829058,Plasma Membrane
zdhhc1,zdhhc1,6.63200177739563,6.790097235513905,6.827629234502852,6.952728644624869,6.519147287940395,6.728628613084702,Endosome membrane,7955,6.749909415804129,6.7335015152166555,-0.0030576732446532325,0.023198697052829058,Plasma Membrane
zdhhc1,zdhhc1,6.63200177739563,6.790097235513905,6.827629234502852,6.952728644624869,6.519147287940395,6.728628613084702,Golgi apparatus,7955,6.749909415804129,6.7335015152166555,-0.0030576732446532325,0.023198697052829058,Golgi_Apparatus
vps13c,vps13c,9.09985563880091,9.318566777047053,9.097619501912064,9.481283120423665,9.169310022418191,9.287486581152837,Endoplasmic reticulum membrane,9606,9.172013972586676,9.312693241331564,0.019815804251528898,0.022304348478881082,Plasma Membrane
vps13c,vps13c,9.09985563880091,9.318566777047053,9.097619501912064,9.481283120423665,9.169310022418191,9.287486581152837,Endosome membrane,9606,9.172013972586676,9.312693241331564,0.019815804251528898,0.022304348478881082,Plasma Membrane
vps13c,vps13c,9.09985563880091,9.318566777047053,9.097619501912064,9.481283120423665,9.169310022418191,9.287486581152837,Golgi apparatus,9606,9.172013972586676,9.312693241331564,0.019815804251528898,0.022304348478881082,Golgi_Apparatus
hsd11b2,hsd11b2,8.203851372183879,8.412277021466677,8.161089512845797,8.293549515060345,7.9617188159813645,8.014666370464942,Membrane,7955,8.259072635498784,8.08997823383555,-0.026590864302145953,0.028514932141929232,Plasma Membrane
