gene_id,MFF.CY.1,MFF.CY.2,MFF.CY.3,MFF.DY.1,MFF.DY.2,MFF.DY.3,subcellular_locations
tppp3,2.70805020110221,3.8918202981106265,3.4339872044851463,3.5553480614894135,3.784189633918261,3.8918202981106265,Cytoplasm
tppp3,2.70805020110221,3.8918202981106265,3.4339872044851463,3.5553480614894135,3.784189633918261,3.8918202981106265,Cytoplasm
tppp3,2.70805020110221,3.8918202981106265,3.4339872044851463,3.5553480614894135,3.784189633918261,3.8918202981106265,cytoskeleton
zdhhc1,6.63200177739563,6.790097235513905,6.827629234502852,6.952728644624869,6.519147287940395,6.728628613084702,Endoplasmic reticulum membrane
zdhhc1,6.63200177739563,6.790097235513905,6.827629234502852,6.952728644624869,6.519147287940395,6.728628613084702,Endosome membrane
zdhhc1,6.63200177739563,6.790097235513905,6.827629234502852,6.952728644624869,6.519147287940395,6.728628613084702,Golgi apparatus
vps13c,9.09985563880091,9.318566777047053,9.097619501912064,9.481283120423665,9.169310022418191,9.287486581152837,Endoplasmic reticulum membrane
vps13c,9.09985563880091,9.318566777047053,9.097619501912064,9.481283120423665,9.169310022418191,9.287486581152837,Endosome membrane
vps13c,9.09985563880091,9.318566777047053,9.097619501912064,9.481283120423665,9.169310022418191,9.287486581152837,Golgi apparatus
hsd11b2,8.203851372183879,8.412277021466677,8.161089512845797,8.293549515060345,7.9617188159813645,8.014666370464942,Membrane
cebpg,8.811205187562887,9.020510699691906,8.845345196421732,9.208638925336425,9.043931533642278,9.12423767292277,Nucleus
slc9a5,3.091042453358316,3.367295829986474,3.4657359027997265,4.59511985013459,4.07753744390572,3.258096538021482,Cell junction
slc9a5,3.091042453358316,3.367295829986474,3.4657359027997265,4.59511985013459,4.07753744390572,3.258096538021482,focal adhesion
slc9a5,3.091042453358316,3.367295829986474,3.4657359027997265,4.59511985013459,4.07753744390572,3.258096538021482,Cell membrane
slc9a5,3.091042453358316,3.367295829986474,3.4657359027997265,4.59511985013459,4.07753744390572,3.258096538021482,Cell projection
slc9a5,3.091042453358316,3.367295829986474,3.4657359027997265,4.59511985013459,4.07753744390572,3.258096538021482,dendritic spine membrane
slc9a5,3.091042453358316,3.367295829986474,3.4657359027997265,4.59511985013459,4.07753744390572,3.258096538021482,Recycling endosome membrane
slc9a5,3.091042453358316,3.367295829986474,3.4657359027997265,4.59511985013459,4.07753744390572,3.258096538021482,Synaptic cell membrane
fhod1,5.501258210544727,5.739792912179234,5.583496308781699,6.148468295917647,5.8664680569332965,6.049733455231958,Cell projection
fhod1,5.501258210544727,5.739792912179234,5.583496308781699,6.148468295917647,5.8664680569332965,6.049733455231958,bleb
fhod1,5.501258210544727,5.739792912179234,5.583496308781699,6.148468295917647,5.8664680569332965,6.049733455231958,Cytoplasm
fhod1,5.501258210544727,5.739792912179234,5.583496308781699,6.148468295917647,5.8664680569332965,6.049733455231958,Cytoplasm
fhod1,5.501258210544727,5.739792912179234,5.583496308781699,6.148468295917647,5.8664680569332965,6.049733455231958,cytoskeleton
cebpa,3.828641396489095,3.295836866004329,3.295836866004329,4.143134726391533,3.5553480614894135,3.367295829986474,Nucleus
