gene_id,MFF-CY-1,MFF-CY-2,MFF-CY-3,MFF-DY-1,MFF-DY-2,MFF-DY-3,subcellular_locations,source_organism
LOC122878957|LOC122878957,17,6,6,0,0,0,,not_found
arfgap2|arfgap2,6431,7688,6343,7186,5460,6404,"Cytoplasm, Golgi apparatus membrane",9606
pex16|pex16,1402,1659,1450,2024,1488,1606,Peroxisome membrane,7955
cars1|cars1,3084,3685,2762,4758,3907,4229,Cytoplasm,9606
sh2d7|sh2d7,0,0,0,0,0,0,,not_found
LOC122875218|LOC122875218,5146,6286,4934,7244,5213,6392,,not_found
LOC122881991|LOC122881991,36,58,18,29,12,40,,not_found
LOC122877822|LOC122877822,146,111,100,104,80,106,,not_found
LOC122876603|LOC122876603,291,275,216,154,156,234,,not_found
kmt5b|kmt5b,2432,3311,2658,3213,2444,3291,"Chromosome, Nucleus",7955
herc1|herc1,27528,36265,29527,38510,27950,29938,"Cytoplasm, cytosol, Golgi apparatus, Membrane",9606
LOC122876025|LOC122876025,985,1221,969,1493,1319,1426,,not_found
LOC122873360|LOC122873360,14,15,30,19,18,6,,not_found
LOC122879730|LOC122879730,94,103,96,87,95,65,,not_found
LOC122873347|LOC122873347,4606,5501,4585,6202,4647,5176,,not_found
lncRNA-LOC122873369|LOC122873369,83,135,103,78,63,125,,not_found
LOC122874395|LOC122874395,1126,1253,1031,1622,1227,1259,,not_found
csnk2a2a|csnk2a2a,2993,3514,2859,3905,2925,3126,,not_found
jph3a|jph3a,7,14,8,4,0,0,,not_found
LOC122876975|LOC122876975,2192,2674,2219,2876,2518,2596,,not_found
pole3|pole3,658,791,662,909,724,823,Nucleus,9606
RP-rpl12|rpl12,54462,61898,53715,58863,45486,54316,,not_found
snoRNA-LOC122882352|LOC122882352,1,0,4,4,2,4,,not_found
snoRNA-LOC122882365|LOC122882365,15,9,10,2,4,15,,not_found
sirt3|sirt3,467,533,489,543,540,500,Mitochondrion matrix,9606
psmd13|psmd13,4167,4706,4070,4603,3732,4205,,not_found
lncRNA-LOC122880365|LOC122880365,0,0,0,0,0,0,,not_found
LOC122880245|LOC122880245,14,25,14,4,8,0,,not_found
znf408|znf408,752,897,690,955,714,765,Nucleus,9606
map1aa|map1aa,8,0,7,41,16,13,,not_found
ppip5k1a|ppip5k1a,3360,4202,3287,4826,3980,4362,,not_found
cdhr5a|cdhr5a,0,0,13,10,17,5,,not_found
ctsd|ctsd,28597,32352,28115,51859,42926,48287,"Lysosome, Melanosome, Secreted, extracellular space",9606
tp53bp1|tp53bp1,1736,2093,1646,2388,2077,2153,"Chromosome, Chromosome, centromere, kinetochore, Nucleus",9606
tubgcp4|tubgcp4,597,704,597,831,680,863,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",9606
LOC122866549|LOC122866549,1706,2173,1687,2485,1778,2025,,not_found
serinc4|serinc4,0,0,5,0,0,0,Membrane,9606
adamtsl5|adamtsl5,30,36,38,28,38,39,"Secreted, Secreted, extracellular space, extracellular matrix",9606
crtc3|crtc3,2290,3121,2495,3053,2354,2681,"Cytoplasm, Nucleus",9606
lncRNA-LOC122880107|LOC122880107,0,0,0,3,0,0,,not_found
iqgap1|iqgap1,12214,15996,13157,18222,13852,15825,"Apical cell membrane, Basolateral cell membrane, Cell membrane, Cytoplasm, Cytoplasm, cell cortex, Nucleus",9606
hypk|hypk,9106,10117,9088,8888,7139,9064,"Cytoplasm, Nucleus",9606
mfap1|mfap1,2544,2864,2413,2925,2502,2763,Nucleus,9606
prc1b|prc1b,182,219,135,53,66,41,,not_found
hddc3|hddc3,809,893,707,1166,883,1174,,not_found
vps33b|vps33b,1401,1625,1377,1703,1282,1488,"Late endosome membrane, Lysosome membrane",7955
ptpmt1|ptpmt1,2443,2689,2307,3432,2949,3017,Mitochondrion inner membrane,7955
LOC122878292|LOC122878292,9,10,0,43,37,51,,not_found
lncRNA-LOC122862122|LOC122862122,0,0,0,0,0,0,,not_found
c1qtnf4|c1qtnf4,3,0,0,0,0,0,Secreted,9606
ndufs3|ndufs3,3611,4120,3376,4913,3717,4335,Mitochondrion inner membrane,9606
otog|otog,17,12,4,0,8,0,"Apical cell membrane, Secreted, extracellular space",9606
LOC122884562|LOC122884562,8165,9178,7803,16739,12649,14011,,not_found
lncRNA-LOC122886298|LOC122886298,0,0,0,0,0,0,,not_found
LOC122885607|LOC122885607,75,92,53,40,39,27,,not_found
ero1a|ero1a,670,744,706,1048,858,777,Endoplasmic reticulum membrane,7955
aph1b|aph1b,6238,7301,6153,9090,7088,8058,Membrane,7955
lncRNA-LOC122886168|LOC122886168,9,22,20,27,19,26,,not_found
gch1|gch1,1269,1603,1191,3221,2321,2590,"Cytoplasm, Nucleus",9606
wdhd1|wdhd1,155,332,263,145,53,54,"Nucleus, nucleoplasm",9606
samd4a|samd4a,4726,6201,5270,6636,4978,5893,"Cell projection, dendrite, Cytoplasm, Synapse, synaptosome",9606
lncRNA-LOC122886385|LOC122886385,6,10,4,6,4,7,,not_found
lncRNA-LOC122886351|LOC122886351,5,6,0,0,8,5,,not_found
slc22a18|slc22a18,1129,1258,937,1238,958,1077,Apical cell membrane,9606
mpped2a|mpped2a,2158,2322,2009,2517,2061,2400,,not_found
LOC122886523|LOC122886523,4256,5691,4745,5798,4143,4629,,not_found
LOC122886881|LOC122886881,89,125,117,189,135,143,,not_found
lncRNA-LOC122887225|LOC122887225,0,12,0,0,6,0,,not_found
LOC122887154|LOC122887154,2697,3373,3024,3603,2652,3057,,not_found
e2f8|e2f8,128,102,112,235,124,155,Nucleus,7955
zdhhc13|zdhhc13,2606,2860,2405,3240,2321,2695,"Cytoplasmic vesicle membrane, Golgi apparatus membrane",7955
lncRNA-LOC122861361|LOC122861361,0,6,3,7,0,0,,not_found
htatip2|htatip2,1916,2051,1841,2087,1678,2051,Cytoplasm,9606
nav2a|nav2a,477,592,548,455,346,339,,not_found
lncRNA-LOC122888913|LOC122888913,0,1,4,4,0,0,,not_found
slc6a5|slc6a5,141,193,152,228,244,241,Cell membrane,9606
prmt3|prmt3,1226,1361,1139,1584,1320,1502,"Cytoplasm, cytosol, Nucleus",9606
LOC122883571|LOC122883571,15,43,6,10,4,7,,not_found
LOC122883780|LOC122883780,0,4,4,7,0,4,,not_found
lncRNA-LOC122884143|LOC122884143,0,0,0,0,0,0,,not_found
lncRNA-LOC122883889|LOC122883889,107,67,75,208,163,187,,not_found
snoRNA-LOC122882360|LOC122882360,0,0,0,0,1,2,,not_found
snoRNA-LOC122882358|LOC122882358,0,0,0,0,0,0,,not_found
slc35c1|slc35c1,549,649,537,817,698,616,Golgi apparatus membrane,9606
pamr1a|pamr1a,510,644,551,554,275,371,,not_found
LOC122876254|LOC122876254,11,34,7,9,0,9,,not_found
LOC122876263|LOC122876263,790,989,650,1049,828,977,,not_found
lrp4|lrp4,4817,6418,5142,4519,3090,3390,Cell membrane,9606
hsd17b12b|hsd17b12b,2359,2721,2319,3863,3023,3311,Endoplasmic reticulum membrane,7955
muc15|muc15,4,0,0,7,0,0,"Cell membrane, Secreted",9606
traf6|traf6,1392,1679,1333,1965,1663,1733,"Cytoplasm, Cytoplasm, cell cortex, Lipid droplet, Nucleus",7955
ttc17|ttc17,4191,4908,4117,5866,4283,5167,"Cell membrane, Cytoplasm, Cytoplasm, cytoskeleton",7955
fibinb|fibinb,3063,3567,3008,2740,2005,2440,,not_found
madd|madd,3860,4816,3924,4553,3604,3585,"Cell membrane, Cell projection, axon, Cytoplasm",9606
bbox1|bbox1,1482,1966,1523,1087,822,803,Cytoplasm,9606
LOC122878443|LOC122878443,893,1083,859,1302,911,1044,,not_found
nr1h3|nr1h3,7701,9117,7545,10917,8346,9714,"Cytoplasm, Nucleus",9606
kcna4|kcna4,824,1080,735,1578,1330,1206,"Cell membrane, Cell projection, axon",9606
LOC122870127|LOC122870127,0,0,0,0,0,0,,not_found
cfap70|cfap70,0,0,0,0,0,0,"Cell projection, cilium, Cell projection, cilium, flagellum, Cytoplasm, cytoskeleton, cilium axoneme, Cytoplasm, cytoskeleton, flagellum axoneme, Cytoplasm, cytoskeleton, flagellum basal body",9606
LOC122870074|LOC122870074,6137,7373,6415,7940,6180,6615,,not_found
ddb1|ddb1,5712,6543,5494,8320,6351,6654,"Cytoplasm, Nucleus",9606
tspan4a|tspan4a,7335,8521,7346,8024,6014,7152,,not_found
lncRNA-LOC122874778|LOC122874778,3,0,7,5,0,2,,not_found
LOC122874783|LOC122874783,9,18,0,16,23,7,,not_found
slc25a44b|slc25a44b,628,715,718,810,749,932,,not_found
LOC122874799|LOC122874799,1792,2626,1826,2802,2267,2438,,not_found
LOC122874811|LOC122874811,0,0,0,0,0,1,,not_found
taldo1|taldo1,14362,17003,13713,23266,18970,20809,"Cytoplasm, Nucleus",9606
LOC122874841|LOC122874841,4,0,0,0,0,0,,not_found
LOC122874835|LOC122874835,3084,3540,3137,3855,2981,3192,,not_found
csnk1g1|csnk1g1,3111,3754,3058,4044,2994,3538,Cytoplasm,7955
LOC122874898|LOC122874898,3688,3916,3748,4943,3616,4413,,not_found
cpeb1b|cpeb1b,3286,3961,3704,6386,5139,5536,,not_found
RP-LOC122874878|LOC122874878,35829,40107,34577,38380,31789,38696,,not_found
bbs4|bbs4,1768,2095,1826,2231,1645,2006,"Cell projection, cilium, Cell projection, cilium membrane, Cell projection, cilium, flagellum, Cytoplasm, Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite",9606
scamp2l|scamp2l,882,1075,878,1282,934,1255,,not_found
senp8|senp8,585,673,564,1099,804,862,,not_found
gramd2aa|gramd2aa,4,9,16,0,0,5,,not_found
neo1a|neo1a,12805,16001,12337,11334,8860,9846,,not_found
myo9aa|myo9aa,4225,4668,4361,3871,2887,3431,"Cell projection, growth cone, Cytoplasm, Membrane, Synapse",7955
trip4|trip4,736,819,883,1082,805,950,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, Cytoplasm, cytosol, Nucleus",9606
lncRNA-LOC122881291|LOC122881291,0,0,9,0,0,0,,not_found
LOC122881252|LOC122881252,4261,4983,3956,5072,3850,4212,,not_found
cln6a|cln6a,1111,1318,1126,1926,1456,1553,,not_found
calml4a|calml4a,15,15,17,28,0,20,,not_found
LOC122873928|LOC122873928,5983,7360,5874,10820,7882,8809,,not_found
coro2ba|coro2ba,33,24,27,45,69,39,,not_found
anp32a|anp32a,2541,2887,2414,3391,2836,3023,"Cytoplasm, Endoplasmic reticulum, Nucleus",7955
paqr5b|paqr5b,8,51,5,8,3,19,Membrane,7955
LOC122871142|LOC122871142,89,81,92,15,8,15,,not_found
itga11a|itga11a,17825,21054,17704,25669,18964,21172,,not_found
glceb|glceb,5251,6050,5004,5509,4158,4466,Golgi apparatus membrane,7955
lncRNA-LOC122878749|LOC122878749,171,234,148,61,52,28,,not_found
LOC122875541|LOC122875541,5640,7408,5697,5974,4467,5112,,not_found
rxfp3.3a1|rxfp3.3a1,14,7,4,7,0,0,,not_found
LOC122880323|LOC122880323,2465,2925,2612,4506,3277,3988,,not_found
uacab|uacab,12781,16393,13195,13228,9886,10730,,not_found
LOC122882059|LOC122882059,2150,2624,2190,3572,2672,2893,,not_found
map2k5|map2k5,1528,2163,1825,2165,1482,1627,,not_found
smad3a|smad3a,6239,8180,6243,7652,5672,6829,,not_found
LOC122863684|LOC122863684,2789,2973,2706,3533,2832,3095,,not_found
tmem208|tmem208,1332,1625,1311,1824,1405,1681,Endoplasmic reticulum membrane,7955
slc39a1|slc39a1,1105,1523,1250,1493,1138,1204,"Basolateral cell membrane, Cell membrane",7955
LOC122865495|LOC122865495,6743,8840,6992,9328,7231,7860,,not_found
LOC122867405|LOC122867405,3918,4667,3793,1960,1566,1768,,not_found
LOC122868363|LOC122868363,41,72,47,42,24,41,,not_found
LOC122868963|LOC122868963,1070,1277,1170,1146,939,987,,not_found
mibp2|mibp2,5810,6962,5692,9088,7322,8186,,not_found
bloc1s6|bloc1s6,3567,4409,3384,6849,5552,6718,"Cytoplasm, Membrane",9606
slc30a4|slc30a4,2877,3634,2904,4553,3785,4120,"Endosome membrane, Late endosome membrane, Lysosome membrane",9606
lg1h15orf48|lg1h15orf48,41,65,28,36,37,51,,not_found
spata5l1|spata5l1,1121,1117,939,1250,1019,1150,"Cytoplasm, Cytoplasm, cytoskeleton, spindle, Nucleus",9606
LOC122870126|LOC122870126,1841,2246,1765,5206,3991,4455,,not_found
fgf7|fgf7,502,586,452,302,267,351,Secreted,9606
dtwd1|dtwd1,298,289,218,341,229,220,Nucleus,7955
lncRNA-LOC122873221|LOC122873221,11,0,0,0,0,9,,not_found
cops2|cops2,4115,5061,3967,5646,4386,5087,"Cytoplasm, Nucleus",7955
secisbp2l|secisbp2l,2935,3591,2978,4828,3457,3848,,not_found
slc12a1|slc12a1,73,67,60,46,36,47,Apical cell membrane,9606
LOC122874268|LOC122874268,40,26,33,38,15,10,,not_found
LOC122875290|LOC122875290,0,0,0,0,0,0,,not_found
sema6dl|sema6dl,2324,3085,2677,3319,2547,2913,,not_found
fbn1|fbn1,17326,22115,17194,36217,26405,28932,"Secreted, Secreted, extracellular space, extracellular matrix",9606
dut|dut,818,1024,1016,1459,971,1160,"Mitochondrion, Nucleus",9606
ctxn2|ctxn2,25,18,21,15,14,15,Membrane,7955
myef2|myef2,3771,4379,3703,5446,4329,4790,Nucleus,9606
slc24a5|slc24a5,1253,1284,1213,4997,4145,4688,"Golgi apparatus, trans-Golgi network membrane, Melanosome",7955
dmxl2|dmxl2,1333,1580,1240,1490,1079,1297,"Cytoplasmic vesicle, secretory vesicle, neuronal dense core vesicle, Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane",9606
gldn|gldn,0,0,5,0,0,0,"Cell membrane, Cell projection, axon, Secreted, Secreted, extracellular space, extracellular matrix",9606
scg3|scg3,57,32,57,28,10,23,"Cytoplasmic vesicle, secretory vesicle lumen, Cytoplasmic vesicle, secretory vesicle membrane, Secreted",7955
lysmd2|lysmd2,439,479,436,642,532,548,,not_found
tnfaip8l3|tnfaip8l3,2953,3862,3235,3610,3043,3400,"Cell membrane, Cytoplasm",7955
tmod2|tmod2,4409,5270,4391,6969,5273,5916,"Cytoplasm, cytoskeleton",9606
leo1|leo1,2961,3108,2828,3827,3093,3654,Nucleus,7955
mapk6|mapk6,4235,5149,4596,5107,3637,4108,"Cytoplasm, Nucleus",9606
lncRNA-LOC122877346|LOC122877346,14,10,4,0,4,0,,not_found
hdc|hdc,0,0,0,2,0,0,,not_found
LOC122875490|LOC122875490,68,49,67,53,31,46,,not_found
LOC122877144|LOC122877144,14,19,31,30,21,24,,not_found
usp8|usp8,5543,6811,5654,7966,6312,6843,"Cell membrane, Cytoplasm, Endosome membrane, Nucleus",9606
pde8a|pde8a,40,30,30,20,12,12,,not_found
LOC122875486|LOC122875486,3319,3647,3201,4062,2801,3354,,not_found
homer2|homer2,62,85,54,15,47,53,"Cell membrane, Cell projection, stereocilium, Cytoplasm, Postsynaptic density, Synapse",9606
LOC122879605|LOC122879605,2435,3001,2408,2960,2316,2537,,not_found
LOC122879597|LOC122879597,1673,1967,1912,2896,2254,2594,,not_found
LOC122879588|LOC122879588,675,787,564,827,734,900,,not_found
LOC122879581|LOC122879581,3444,4186,3550,4316,3312,3856,,not_found
LOC122878157|LOC122878157,2889,3292,2663,3232,2518,2978,,not_found
phka2|phka2,711,1139,860,860,550,636,Cell membrane,9606
si:dkey-163f14.6|si:dkey-163f14.6,0,0,0,0,0,0,,not_found
LOC122875739|LOC122875739,319,439,392,497,351,424,,not_found
LOC122874313|LOC122874313,465,768,601,446,377,445,,not_found
zrsr2|zrsr2,1263,1425,1229,1476,1062,1190,Nucleus,9606
ap1s2|ap1s2,4903,5821,4450,5569,4214,4908,"Cytoplasmic vesicle membrane, Golgi apparatus, Membrane, clathrin-coated pit",9606
vegfd|vegfd,4,3,0,0,0,0,Secreted,9606
pir|pir,7,8,18,37,55,43,"Cytoplasm, Nucleus",9606
scml2|scml2,1975,2500,1965,2231,1654,1808,Nucleus,9606
grpr|grpr,0,0,0,0,0,0,Cell membrane,9606
lncRNA-LOC122874543|LOC122874543,0,0,0,0,0,0,,not_found
LOC122874532|LOC122874532,0,0,0,0,0,0,,not_found
LOC122874549|LOC122874549,10677,13527,11212,14227,10864,12361,,not_found
LOC122874596|LOC122874596,60,94,45,37,56,63,,not_found
LOC122874620|LOC122874620,16,26,9,39,22,14,,not_found
LOC122874635|LOC122874635,3318,4083,3493,4814,3762,4197,,not_found
stk16|stk16,3518,4249,3239,3972,3244,3462,"Cytoplasm, perinuclear region, Membrane",9606
tmem39a|tmem39a,3701,4276,3617,3875,3303,3622,Endoplasmic reticulum membrane,7955
LOC122874614|LOC122874614,73456,85091,68668,69595,61389,70126,,not_found
LOC122874588|LOC122874588,17,19,22,31,9,9,,not_found
fn1b|fn1b,1518,1778,1220,2324,2017,2199,,not_found
atic|atic,11236,12883,10437,18782,14756,16543,"Cytoplasm, cytosol",9606
psmd14|psmd14,3755,4467,3790,4199,3248,3910,,not_found
itgb6|itgb6,7,8,0,0,0,3,"Cell junction, focal adhesion, Cell membrane",9606
rbms1a|rbms1a,19492,23451,20126,20841,16414,19150,,not_found
pla2r1|pla2r1,16456,20238,16147,17130,13752,15290,"Cell membrane, Secreted",9606
ly75|ly75,6230,7265,6155,9920,8041,8668,Membrane,9606
marchf7|marchf7,5141,5706,4831,6830,5191,5813,Cytoplasm,9606
lncRNA-LOC122882061|LOC122882061,42,14,18,39,30,24,,not_found
baz2ba|baz2ba,5468,6887,5234,7743,5963,6375,,not_found
wdsub1|wdsub1,4214,5086,4321,7864,6014,6603,,not_found
LOC122879176|LOC122879176,120,208,159,264,126,181,,not_found
